,民國106年第3季,民國106年第3季,民國106年第3季,民國106年第3季,民國106年第3季,民國106年第3季,民國106年第3季,民國106年第3季,民國106年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,106年09月30日,106年09月30日,105年12月31日,105年12月31日,105年09月30日,105年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,503682.0,7.14,500403.0,6.65,841446.0,11.32,,
2,透過損益按公允價值衡量之金融資產－流動,490921.0,6.96,517581.0,6.88,212536.0,2.86,,
3,應收票據淨額,15496.0,0.22,34646.0,0.46,17497.0,0.24,,
4,應收帳款淨額,277018.0,3.93,281085.0,3.74,260894.0,3.51,,
5,其他應收款淨額,43321.0,0.61,51824.0,0.69,37145.0,0.5,,
6,存貨,79171.0,1.12,70147.0,0.93,50375.0,0.68,,
7,預付款項,92546.0,1.31,73700.0,0.98,77913.0,1.05,,
8,其他流動資產,159283.0,2.26,245862.0,3.27,120084.0,1.62,,
9,流動資產合計,1661438.0,23.56,1775248.0,23.6,1617890.0,21.76,,
10,非流動資產,,,,,,,,
11,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
12,不動產、廠房及設備,3081291.0,43.69,3280192.0,43.61,3350856.0,45.07,,
13,投資性不動產淨額,300269.0,4.26,310556.0,4.13,351474.0,4.73,,
14,無形資產,1634104.0,23.17,1752231.0,23.3,1709229.0,22.99,,
15,遞延所得稅資產,94884.0,1.35,122888.0,1.63,127249.0,1.71,,
16,其他非流動資產,280485.0,3.98,280097.0,3.72,276806.0,3.72,,
17,非流動資產合計,5391533.0,76.44,5746464.0,76.4,5816114.0,78.24,,
18,資產總計,7052971.0,100.0,7521712.0,100.0,7434004.0,100.0,,
19,流動負債,,,,,,,,
20,短期借款,103800.0,1.47,19600.0,0.26,495105.0,6.66,,
21,應付短期票券,90000.0,1.28,56000.0,0.74,114200.0,1.54,,
22,透過損益按公允價值衡量之金融負債－流動,21866.0,0.31,21480.0,0.29,8880.0,0.12,,
23,應付票據,5254.0,0.07,16971.0,0.23,4695.0,0.06,,
24,應付帳款,273143.0,3.87,300715.0,4.0,248274.0,3.34,,
25,其他應付款,763638.0,10.83,718779.0,9.56,646587.0,8.7,,
26,本期所得稅負債,28944.0,0.41,102466.0,1.36,35290.0,0.47,,
27,其他流動負債,476931.0,6.76,523382.0,6.96,425427.0,5.72,,
28,流動負債合計,1763576.0,25.0,1759393.0,23.39,1978458.0,26.61,,
29,非流動負債,,,,,,,,
30,應付公司債,1408163.0,19.97,1456812.0,19.37,1450710.0,19.51,,
31,長期借款,0.0,0.0,0.0,0.0,14286.0,0.19,,
32,遞延所得稅負債,7.0,0.0,7.0,0.0,29.0,0.0,,
33,其他非流動負債,403138.0,5.72,460313.0,6.12,449667.0,6.05,,
34,非流動負債合計,1811308.0,25.68,1917132.0,25.49,1914692.0,25.76,,
35,負債總計,3574884.0,50.69,3676525.0,48.88,3893150.0,52.37,,
36,歸屬於母公司業主之權益,,,,,,,,
37,股本,,,,,,,,
38,普通股股本,1267458.0,17.97,1267458.0,16.85,1267458.0,17.05,,
39,股本合計,1267458.0,17.97,1267458.0,16.85,1267458.0,17.05,,
40,資本公積,,,,,,,,
41,資本公積－認股權,115442.0,1.64,115442.0,1.53,115442.0,1.55,,
42,資本公積－其他,0.0,0.0,98623.0,1.31,98623.0,1.33,,
43,資本公積合計,115442.0,1.64,214065.0,2.85,214065.0,2.88,,
44,保留盈餘,,,,,,,,
45,法定盈餘公積,1267458.0,17.97,1267458.0,16.85,1267458.0,17.05,,
46,特別盈餘公積,32770.0,0.46,24891.0,0.33,24891.0,0.33,,
47,未分配盈餘（或待彌補虧損）,742457.0,10.53,944480.0,12.56,649198.0,8.73,,
48,保留盈餘合計,2042685.0,28.96,2236829.0,29.74,1941547.0,26.12,,
49,其他權益,,,,,,,,
50,國外營運機構財務報表換算之兌換差額,-163507.0,-2.32,-32770.0,-0.44,-34822.0,-0.47,,
51,其他權益合計,-163507.0,-2.32,-32770.0,-0.44,-34822.0,-0.47,,
52,歸屬於母公司業主之權益合計,3262078.0,46.25,3685582.0,49.0,3388248.0,45.58,,
53,非控制權益,216009.0,3.06,159605.0,2.12,152606.0,2.05,,
54,權益總計,3478087.0,49.31,3845187.0,51.12,3540854.0,47.63,,
55,負債及權益總計,7052971.0,100.0,7521712.0,100.0,7434004.0,100.0,,
56,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
