,民國104年第3季,民國104年第3季,民國104年第3季,民國104年第3季,民國104年第3季,民國104年第3季,民國104年第3季,民國104年第3季,民國104年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,104年09月30日,104年09月30日,103年12月31日,103年12月31日,103年09月30日,103年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,702858.0,9.73,730177.0,9.94,748717.0,10.67,,
2,透過損益按公允價值衡量之金融資產－流動,334892.0,4.64,351455.0,4.79,285093.0,4.06,,
3,備供出售金融資產－流動淨額,0.0,0.0,23303.0,0.32,16392.0,0.23,,
4,應收票據淨額,16492.0,0.23,10957.0,0.15,11535.0,0.16,,
5,應收帳款淨額,215381.0,2.98,236004.0,3.21,216240.0,3.08,,
6,其他應收款淨額,27762.0,0.38,126336.0,1.72,28553.0,0.41,,
7,存貨,53573.0,0.74,44265.0,0.6,40084.0,0.57,,
8,預付款項,86082.0,1.19,89481.0,1.22,102125.0,1.45,,
9,其他流動資產,118682.0,1.64,140035.0,1.91,68977.0,0.98,,
10,流動資產合計,1555722.0,21.53,1752013.0,23.85,1517716.0,21.62,,
11,非流動資產,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,3224590.0,44.63,3190847.0,43.45,3147050.0,44.83,,
14,投資性不動產淨額,313666.0,4.34,305929.0,4.17,322442.0,4.59,,
15,無形資產,1792170.0,24.81,1738032.0,23.66,1676385.0,23.88,,
16,遞延所得稅資產,56475.0,0.78,56215.0,0.77,52827.0,0.75,,
17,其他非流動資產,281356.0,3.89,300923.0,4.1,302667.0,4.31,,
18,非流動資產合計,5668757.0,78.47,5592446.0,76.15,5501871.0,78.38,,
19,資產總計,7224479.0,100.0,7344459.0,100.0,7019587.0,100.0,,
20,流動負債,,,,,,,,
21,短期借款,412000.0,5.7,76000.0,1.03,302000.0,4.3,,
22,應付短期票券,73000.0,1.01,40000.0,0.54,183000.0,2.61,,
23,透過損益按公允價值衡量之金融負債－流動,4598.0,0.06,2048.0,0.03,4898.0,0.07,,
24,應付票據,13930.0,0.19,9701.0,0.13,21718.0,0.31,,
25,應付帳款,207857.0,2.88,293032.0,3.99,269488.0,3.84,,
26,其他應付款,626906.0,8.68,644992.0,8.78,557759.0,7.95,,
27,本期所得稅負債,49577.0,0.69,115293.0,1.57,53595.0,0.76,,
28,其他流動負債,353609.0,4.89,442406.0,6.02,337793.0,4.81,,
29,流動負債合計,1741477.0,24.11,1623472.0,22.1,1730251.0,24.65,,
30,非流動負債,,,,,,,,
31,應付公司債,1437043.0,19.89,1420336.0,19.34,1414810.0,20.16,,
32,長期借款,71428.0,0.99,114286.0,1.56,128571.0,1.83,,
33,遞延所得稅負債,412.0,0.01,467.0,0.01,2057.0,0.03,,
34,其他非流動負債,434220.0,6.01,437841.0,5.96,437953.0,6.24,,
35,非流動負債合計,1943103.0,26.9,1972930.0,26.86,1983391.0,28.26,,
36,負債總計,3684580.0,51.0,3596402.0,48.97,3713642.0,52.9,,
37,歸屬於母公司業主之權益,,,,,,,,
38,股本,,,,,,,,
39,普通股股本,1267458.0,17.54,1169231.0,15.92,1169231.0,16.66,,
40,股本合計,1267458.0,17.54,1169231.0,15.92,1169231.0,16.66,,
41,資本公積,,,,,,,,
42,資本公積－庫藏股票交易,0.0,0.0,98227.0,1.34,98227.0,1.4,,
43,資本公積－認股權,103299.0,1.43,103299.0,1.41,103299.0,1.47,,
44,資本公積合計,103299.0,1.43,201526.0,2.74,201526.0,2.87,,
45,保留盈餘,,,,,,,,
46,法定盈餘公積,1169230.0,16.18,1062937.0,14.47,1062937.0,15.14,,
47,特別盈餘公積,121914.0,1.69,216432.0,2.95,216432.0,3.08,,
48,未分配盈餘（或待彌補虧損）,793528.0,10.98,1123614.0,15.3,743799.0,10.6,,
49,保留盈餘合計,2084672.0,28.86,2402983.0,32.72,2023168.0,28.82,,
50,其他權益,,,,,,,,
51,國外營運機構財務報表換算之兌換差額,-28495.0,-0.39,-124653.0,-1.7,-173346.0,-2.47,,
52,備供出售金融資產未實現損益,0.0,0.0,2739.0,0.04,-4172.0,-0.06,,
53,其他權益合計,-28495.0,-0.39,-121914.0,-1.66,-177518.0,-2.53,,
54,歸屬於母公司業主之權益合計,3426934.0,47.44,3651826.0,49.72,3216407.0,45.82,,
55,非控制權益,112965.0,1.56,96231.0,1.31,89538.0,1.28,,
56,權益總計,3539899.0,49.0,3748057.0,51.03,3305945.0,47.1,,
57,負債及權益總計,7224479.0,100.0,7344459.0,100.0,7019587.0,100.0,,
58,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
59,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
60,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
