,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季,民國104年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,104年03月31日,104年03月31日,103年12月31日,103年12月31日,103年03月31日,103年03月31日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,610427.0,8.09,730177.0,9.94,803361.0,10.98,,
2,透過損益按公允價值衡量之金融資產－流動,535481.0,7.1,351455.0,4.79,625152.0,8.54,,
3,備供出售金融資產－流動淨額,0.0,0.0,23303.0,0.32,16151.0,0.22,,
4,應收票據淨額,5771.0,0.08,10957.0,0.15,20008.0,0.27,,
5,應收帳款淨額,249332.0,3.31,236004.0,3.21,224061.0,3.06,,
6,其他應收款淨額,123100.0,1.63,126336.0,1.72,32407.0,0.44,,
7,存貨,61215.0,0.81,44265.0,0.6,36556.0,0.5,,
8,預付款項,86250.0,1.14,89154.0,1.21,99893.0,1.37,,
9,其他流動資產,191290.0,2.54,140035.0,1.91,198920.0,2.72,,
10,流動資產合計,1862866.0,24.7,1751686.0,23.85,2056509.0,28.11,,
11,非流動資產,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,3300792.0,43.76,3190847.0,43.45,2870212.0,39.23,,
14,投資性不動產淨額,300118.0,3.98,305929.0,4.17,345492.0,4.72,,
15,無形資產,1715933.0,22.75,1738032.0,23.67,1686165.0,23.05,,
16,遞延所得稅資產,60679.0,0.8,56215.0,0.77,53591.0,0.73,,
17,其他非流動資產,301215.0,3.99,300923.0,4.1,304274.0,4.16,,
18,非流動資產合計,5679237.0,75.3,5592446.0,76.15,5260234.0,71.89,,
19,資產總計,7542103.0,100.0,7344132.0,100.0,7316743.0,100.0,,
20,流動負債,,,,,,,,
21,短期借款,74000.0,0.98,76000.0,1.03,118000.0,1.61,,
22,應付短期票券,42500.0,0.56,40000.0,0.54,23400.0,0.32,,
23,透過損益按公允價值衡量之金融負債－流動,1748.0,0.02,2048.0,0.03,5348.0,0.07,,
24,應付票據,21923.0,0.29,9701.0,0.13,26396.0,0.36,,
25,應付帳款,290396.0,3.85,293032.0,3.99,236315.0,3.23,,
26,其他應付款,522635.0,6.93,644992.0,8.78,613140.0,8.38,,
27,本期所得稅負債,182150.0,2.42,115293.0,1.57,191404.0,2.62,,
28,其他流動負債,395329.0,5.24,442406.0,6.02,352911.0,4.82,,
29,流動負債合計,1530681.0,20.3,1623472.0,22.11,1566914.0,21.42,,
30,非流動負債,,,,,,,,
31,應付公司債,1425883.0,18.91,1420336.0,19.34,1403823.0,19.19,,
32,長期借款,100000.0,1.33,114286.0,1.56,157143.0,2.15,,
33,遞延所得稅負債,412.0,0.01,412.0,0.01,522.0,0.01,,
34,其他非流動負債,439518.0,5.83,443622.0,6.04,443200.0,6.06,,
35,非流動負債合計,1965813.0,26.06,1978656.0,26.94,2004688.0,27.4,,
36,負債總計,3496494.0,46.36,3602128.0,49.05,3571602.0,48.81,,
37,歸屬於母公司業主之權益,,,,,,,,
38,股本,,,,,,,,
39,普通股股本,1169231.0,15.5,1169231.0,15.92,1062937.0,14.53,,
40,股本合計,1169231.0,15.5,1169231.0,15.92,1062937.0,14.53,,
41,資本公積,,,,,,,,
42,資本公積－庫藏股票交易,98227.0,1.3,98227.0,1.34,204521.0,2.8,,
43,資本公積－認股權,103299.0,1.37,103299.0,1.41,103299.0,1.41,,
44,資本公積合計,201526.0,2.67,201526.0,2.74,307820.0,4.21,,
45,保留盈餘,,,,,,,,
46,法定盈餘公積,1062937.0,14.09,1062937.0,14.47,966306.0,13.21,,
47,特別盈餘公積,216432.0,2.87,216432.0,2.95,148541.0,2.03,,
48,未分配盈餘（或待彌補虧損）,1416843.0,18.79,1117561.0,15.22,1341089.0,18.33,,
49,保留盈餘合計,2696212.0,35.75,2396930.0,32.64,2455936.0,33.57,,
50,其他權益,,,,,,,,
51,國外營運機構財務報表換算之兌換差額,-119494.0,-1.58,-124653.0,-1.7,-157917.0,-2.16,,
52,備供出售金融資產未實現損益,0.0,0.0,2739.0,0.04,-4413.0,-0.06,,
53,其他權益合計,-119494.0,-1.58,-121914.0,-1.66,-162330.0,-2.22,,
54,歸屬於母公司業主之權益合計,3947475.0,52.34,3645773.0,49.64,3664363.0,50.08,,
55,非控制權益,98134.0,1.3,96231.0,1.31,80778.0,1.1,,
56,權益總計,4045609.0,53.64,3742004.0,50.95,3745141.0,51.19,,
57,負債及權益總計,7542103.0,100.0,7344132.0,100.0,7316743.0,100.0,,
58,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
59,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
60,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
