,民國102年第4季,民國102年第4季,民國102年第4季,民國102年第4季,民國102年第4季,民國102年第4季,民國102年第4季,民國102年第4季,民國102年第4季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,102年12月31日,102年12月31日,101年12月31日,101年12月31日,101年01月01日,101年01月01日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,886326.0,12.59,481290.0,8.08,0.0,0.0,,
2,透過損益按公允價值衡量之金融資產－流動,583919.0,8.29,181218.0,3.04,0.0,0.0,,
3,備供出售金融資產－流動淨額,17597.0,0.25,19285.0,0.32,0.0,0.0,,
4,應收票據淨額,12364.0,0.18,25969.0,0.44,0.0,0.0,,
5,應收帳款淨額,253720.0,3.6,255745.0,4.29,0.0,0.0,,
6,其他應收款淨額,34750.0,0.49,57763.0,0.97,0.0,0.0,,
7,存貨,39216.0,0.56,38080.0,0.64,0.0,0.0,,
8,預付款項,61230.0,0.87,64019.0,1.07,0.0,0.0,,
9,其他流動資產,213221.0,3.03,164209.0,2.76,0.0,0.0,,
10,流動資產合計,2102343.0,29.86,1287578.0,21.61,0.0,0.0,,
11,非流動資產,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,0.0,0.0,,
13,不動產、廠房及設備,2614414.0,37.13,2346397.0,39.38,0.0,0.0,,
14,投資性不動產淨額,332411.0,4.72,398821.0,6.69,0.0,0.0,,
15,無形資產,1654541.0,23.5,1627449.0,27.31,0.0,0.0,,
16,遞延所得稅資產,54985.0,0.78,67491.0,1.13,0.0,0.0,,
17,其他非流動資產,281659.0,4.0,230345.0,3.87,0.0,0.0,,
18,非流動資產合計,4938510.0,70.14,4671003.0,78.39,0.0,0.0,,
19,資產總額,7040853.0,100.0,5958581.0,100.0,0.0,0.0,,
20,流動負債,,,,,,,,
21,短期借款,115500.0,1.64,72000.0,1.21,0.0,0.0,,
22,應付短期票券,19000.0,0.27,30000.0,0.5,0.0,0.0,,
23,透過損益按公允價值衡量之金融負債－流動,7748.0,0.11,0.0,0.0,0.0,0.0,,
24,應付票據,15432.0,0.22,17403.0,0.29,0.0,0.0,,
25,應付帳款,259232.0,3.68,237633.0,3.99,0.0,0.0,,
26,其他應付款,726383.0,10.32,557548.0,9.36,0.0,0.0,,
27,當期所得稅負債,129364.0,1.84,136476.0,2.29,0.0,0.0,,
28,其他流動負債,363937.0,5.17,658137.0,11.05,0.0,0.0,,
29,流動負債合計,1636596.0,23.24,1709197.0,28.68,0.0,0.0,,
30,非流動負債,,,,,,,,
31,應付公司債,1398362.0,19.86,0.0,0.0,0.0,0.0,,
32,長期借款,171429.0,2.43,716276.0,12.02,0.0,0.0,,
33,遞延所得稅負債,458.0,0.01,16734.0,0.28,0.0,0.0,,
34,其他非流動負債,439113.0,6.24,440554.0,7.39,0.0,0.0,,
35,非流動負債合計,2009362.0,28.54,1173564.0,19.7,0.0,0.0,,
36,負債總額,3645958.0,51.78,2882761.0,48.38,0.0,0.0,,
37,歸屬於母公司業主之權益,,,,,,,,
38,股本,,,,,,,,
39,普通股股本,1062937.0,15.1,966306.0,16.22,0.0,0.0,,
40,股本合計,1062937.0,15.1,966306.0,16.22,0.0,0.0,,
41,資本公積,,,,,,,,
42,資本公積－庫藏股票交易,204521.0,2.9,301152.0,5.05,0.0,0.0,,
43,資本公積－認股權,103299.0,1.47,0.0,0.0,0.0,0.0,,
44,資本公積合計,307820.0,4.37,301152.0,5.05,0.0,0.0,,
45,保留盈餘,,,,,,,,
46,法定盈餘公積,966306.0,13.72,878460.0,14.74,0.0,0.0,,
47,特別盈餘公積,148541.0,2.11,0.0,0.0,0.0,0.0,,
48,未分配盈餘（或待彌補虧損）,1044369.0,14.83,994956.0,16.7,0.0,0.0,,
49,保留盈餘合計,2159216.0,30.67,1873416.0,31.44,0.0,0.0,,
50,其他權益,,,,,,,,
51,國外營運機構財務報表換算之兌換差額,-213465.0,-3.03,-158071.0,-2.65,0.0,0.0,,
52,備供出售金融資產未實現損益,-2967.0,-0.04,-1279.0,-0.02,0.0,0.0,,
53,其他權益合計,-216432.0,-3.07,-159350.0,-2.67,0.0,0.0,,
54,歸屬於母公司業主之權益合計,3313541.0,47.06,2981524.0,50.04,0.0,0.0,,
55,非控制權益,81354.0,1.16,94296.0,1.58,0.0,0.0,,
56,權益總額,3394895.0,48.22,3075820.0,51.62,0.0,0.0,,
57,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
58,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
