,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,102年03月31日,102年03月31日,101年12月31日,101年12月31日,101年03月31日,101年03月31日,101年01月01日,101年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
0,流動資產,,,,,,,,,,
1,現金及約當現金,821261.0,12.58,481290.0,8.08,356116.0,5.57,312153.0,4.97,,
2,透過損益按公允價值衡量之金融資產－流動,436897.0,6.69,181218.0,3.04,606374.0,9.48,454208.0,7.23,,
3,備供出售金融資產－流動淨額,18803.0,0.29,19285.0,0.32,19124.0,0.3,19317.0,0.31,,
4,應收票據淨額,22827.0,0.35,25969.0,0.44,34870.0,0.55,39962.0,0.64,,
5,應收帳款淨額,265947.0,4.07,255745.0,4.29,272552.0,4.26,225007.0,3.58,,
6,其他應收款淨額,57636.0,0.88,57763.0,0.97,50288.0,0.79,70672.0,1.13,,
7,存貨,35505.0,0.54,38080.0,0.64,36454.0,0.57,36688.0,0.58,,
8,預付款項,73041.0,1.12,64019.0,1.07,59743.0,0.93,50648.0,0.81,,
9,其他流動資產,134134.0,2.05,164209.0,2.76,16623.0,0.26,2166.0,0.03,,
10,流動資產合計,1866051.0,28.58,1287578.0,21.61,1452144.0,22.7,1210821.0,19.28,,
11,非流動資產,,,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,0.0,0.0,0.0,0.0,,
13,不動產、廠房及設備,2335686.0,35.77,2346397.0,39.38,2407925.0,37.65,2385105.0,37.98,,
14,投資性不動產淨額,374894.0,5.74,398821.0,6.69,429805.0,6.72,468811.0,7.47,,
15,無形資產,1665778.0,25.51,1627449.0,27.31,1662957.0,26.0,1705382.0,27.16,,
16,遞延所得稅資產,65206.0,1.0,67491.0,1.13,73263.0,1.15,91518.0,1.46,,
17,其他非流動資產,220901.0,3.38,230345.0,3.87,369707.0,5.78,418288.0,6.66,,
