,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季,民國102年第1季
18,非流動資產合計,4662965.0,71.42,4671003.0,78.39,4943657.0,77.3,5069104.0,80.72,,
19,資產總額,6529016.0,100.0,5958581.0,100.0,6395801.0,100.0,6279925.0,100.0,,
20,流動負債,,,,,,,,,,
21,短期借款,325061.0,4.98,72000.0,1.21,63700.0,1.0,56400.0,0.9,,
22,應付短期票券,30000.0,0.46,30000.0,0.5,32200.0,0.5,32700.0,0.52,,
23,應付票據,18453.0,0.28,17403.0,0.29,15444.0,0.24,7969.0,0.13,,
24,應付帳款,211221.0,3.24,237633.0,3.99,252805.0,3.95,272111.0,4.33,,
25,其他應付款,529749.0,8.11,557548.0,9.36,440562.0,6.89,539996.0,8.6,,
26,當期所得稅負債,192612.0,2.95,136476.0,2.29,125050.0,1.96,72367.0,1.15,,
27,其他流動負債,644863.0,9.88,658137.0,11.05,607438.0,9.5,618062.0,9.84,,
28,流動負債合計,1951959.0,29.9,1709197.0,28.68,1537199.0,24.03,1599605.0,25.47,,
29,非流動負債,,,,,,,,,,
30,長期借款,715430.0,10.96,716276.0,12.02,1081787.0,16.91,1103067.0,17.56,,
31,遞延所得稅負債,13623.0,0.21,16734.0,0.28,19904.0,0.31,29181.0,0.46,,
32,其他非流動負債,442960.0,6.78,440554.0,7.39,415922.0,6.5,412624.0,6.57,,
33,非流動負債合計,1172013.0,17.95,1173564.0,19.7,1517613.0,23.73,1544872.0,24.6,,
34,負債總額,3123972.0,47.85,2882761.0,48.38,3054812.0,47.76,3144477.0,50.07,,
35,歸屬於母公司業主之權益,,,,,,,,,,
36,股本,,,,,,,,,,
37,普通股股本,966306.0,14.8,966306.0,16.22,878460.0,13.73,878460.0,13.99,,
38,股本合計,966306.0,14.8,966306.0,16.22,878460.0,13.73,878460.0,13.99,,
39,資本公積,,,,,,,,,,
40,資本公積－庫藏股票交易,301152.0,4.61,301152.0,5.05,388998.0,6.08,388998.0,6.19,,
41,資本公積合計,301152.0,4.61,301152.0,5.05,388998.0,6.08,388998.0,6.19,,
42,保留盈餘,,,,,,,,,,
43,法定盈餘公積,878460.0,13.45,878460.0,14.74,798600.0,12.49,798600.0,12.72,,
44,特別盈餘公積,0.0,0.0,0.0,0.0,65880.0,1.03,65880.0,1.05,,
45,未分配盈餘（或待彌補虧損）,1317053.0,20.17,994956.0,16.7,1199852.0,18.76,892159.0,14.21,,
46,保留盈餘合計,2195513.0,33.63,1873416.0,31.44,2064332.0,32.28,1756639.0,27.97,,
47,其他權益,,,,,,,,,,
48,國外營運機構財務報表換算之兌換差額,-144379.0,-2.21,-158071.0,-2.65,-94998.0,-1.49,0.0,0.0,,
49,備供出售金融資產未實現損益,-1761.0,-0.03,-1279.0,-0.02,-1440.0,-0.02,438.0,0.01,,
50,其他權益合計,-146140.0,-2.24,-159350.0,-2.67,-96438.0,-1.51,438.0,0.01,,
51,歸屬於母公司業主之權益合計,3316831.0,50.8,2981524.0,50.04,3235352.0,50.59,3024535.0,48.16,,
52,非控制權益,88213.0,1.35,94296.0,1.58,105637.0,1.65,110913.0,1.77,,
53,權益總額,3405044.0,52.15,3075820.0,51.62,3340989.0,52.24,3135448.0,49.93,,
54,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
55,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,0.0,,,
