,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季,民國102年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,102年09月30日,102年09月30日,101年12月31日,101年12月31日,101年09月30日,101年09月30日,101年01月01日,101年01月01日,Unnamed: 9_level_2,Unnamed: 10_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,金額,%,Unnamed: 9_level_3,Unnamed: 10_level_3
0,流動資產,,,,,,,,,,
1,現金及約當現金,865955.0,13.43,481290.0,8.08,423517.0,7.12,312153.0,4.97,,
2,透過損益按公允價值衡量之金融資產－流動,245555.0,3.81,181218.0,3.04,185293.0,3.12,454208.0,7.23,,
3,備供出售金融資產－流動淨額,17839.0,0.28,19285.0,0.32,19687.0,0.33,19317.0,0.31,,
4,應收票據淨額,25046.0,0.39,25969.0,0.44,32277.0,0.54,39962.0,0.64,,
5,應收帳款淨額,199174.0,3.09,255745.0,4.29,280208.0,4.71,225007.0,3.58,,
6,其他應收款淨額,35248.0,0.55,57763.0,0.97,36754.0,0.62,70672.0,1.13,,
7,存貨,31710.0,0.49,38080.0,0.64,37567.0,0.63,36688.0,0.58,,
8,預付款項,60951.0,0.95,64019.0,1.07,68910.0,1.16,50648.0,0.81,,
9,其他流動資產,132735.0,2.06,164209.0,2.76,2157.0,0.04,2166.0,0.03,,
10,流動資產合計,1614213.0,25.04,1287578.0,21.61,1086370.0,18.28,1210821.0,19.28,,
11,非流動資產,,,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,0.0,0.0,0.0,0.0,,
13,不動產、廠房及設備,2484153.0,38.54,2346397.0,39.38,2355451.0,39.63,2385105.0,37.98,,
14,投資性不動產淨額,354830.0,5.5,398821.0,6.69,449169.0,7.56,468811.0,7.47,,
15,無形資產,1645350.0,25.53,1627449.0,27.31,1644664.0,27.67,1705382.0,27.16,,
16,遞延所得稅資產,64559.0,1.0,67491.0,1.13,73971.0,1.24,91518.0,1.46,,
17,其他非流動資產,282151.0,4.38,230345.0,3.87,334558.0,5.63,418288.0,6.66,,
18,非流動資產合計,4831543.0,74.96,4671003.0,78.39,4857813.0,81.72,5069104.0,80.72,,
19,資產總額,6445756.0,100.0,5958581.0,100.0,5944183.0,100.0,6279925.0,100.0,,
20,流動負債,,,,,,,,,,
21,短期借款,111000.0,1.72,72000.0,1.21,55600.0,0.94,56400.0,0.9,,
22,應付短期票券,39000.0,0.61,30000.0,0.5,223900.0,3.77,32700.0,0.52,,
23,透過損益按公允價值衡量之金融負債－流動,9150.0,0.14,0.0,0.0,0.0,0.0,0.0,0.0,,
24,應付票據,22746.0,0.35,17403.0,0.29,27843.0,0.47,7969.0,0.13,,
25,應付帳款,222631.0,3.45,237633.0,3.99,199666.0,3.36,272111.0,4.33,,
26,其他應付款,600777.0,9.32,557548.0,9.36,508988.0,8.56,539996.0,8.6,,
27,當期所得稅負債,66818.0,1.04,136476.0,2.29,73828.0,1.24,72367.0,1.15,,
28,其他流動負債,291389.0,4.52,658137.0,11.05,583403.0,9.81,618062.0,9.84,,
29,流動負債合計,1363511.0,21.15,1709197.0,28.68,1673228.0,28.15,1599605.0,25.47,,
30,非流動負債,,,,,,,,,,
31,應付公司債,1392922.0,21.61,0.0,0.0,0.0,0.0,0.0,0.0,,
32,長期借款,185714.0,2.88,716276.0,12.02,917451.0,15.43,1103067.0,17.56,,
33,遞延所得稅負債,978.0,0.02,16734.0,0.28,22120.0,0.37,29181.0,0.46,,
34,其他非流動負債,438979.0,6.81,440554.0,7.39,420445.0,7.07,412624.0,6.57,,
35,非流動負債合計,2018593.0,31.32,1173564.0,19.7,1360016.0,22.88,1544872.0,24.6,,
36,負債總額,3382104.0,52.47,2882761.0,48.38,3033244.0,51.03,3144477.0,50.07,,
37,歸屬於母公司業主之權益,,,,,,,,,,
38,股本,,,,,,,,,,
39,普通股股本,1062937.0,16.49,966306.0,16.22,966306.0,16.26,878460.0,13.99,,
40,股本合計,1062937.0,16.49,966306.0,16.22,966306.0,16.26,878460.0,13.99,,
41,資本公積,,,,,,,,,,
42,資本公積－庫藏股票交易,204521.0,3.17,301152.0,5.05,301152.0,5.07,388998.0,6.19,,
43,資本公積－認股權,103299.0,1.6,0.0,0.0,0.0,0.0,0.0,0.0,,
44,資本公積合計,307820.0,4.78,301152.0,5.05,301152.0,5.07,388998.0,6.19,,
45,保留盈餘,,,,,,,,,,
46,法定盈餘公積,966306.0,14.99,878460.0,14.74,878460.0,14.78,798600.0,12.72,,
47,特別盈餘公積,148541.0,2.3,0.0,0.0,0.0,0.0,65880.0,1.05,,
48,未分配盈餘（或待彌補虧損）,690870.0,10.72,994956.0,16.7,744990.0,12.53,892159.0,14.21,,
49,保留盈餘合計,1805717.0,28.01,1873416.0,31.44,1623450.0,27.31,1756639.0,27.97,,
50,其他權益,,,,,,,,,,
51,國外營運機構財務報表換算之兌換差額,-191168.0,-2.97,-158071.0,-2.65,-73817.0,-1.24,0.0,0.0,,
52,備供出售金融資產未實現損益,-2725.0,-0.04,-1279.0,-0.02,-877.0,-0.01,438.0,0.01,,
53,其他權益合計,-193893.0,-3.01,-159350.0,-2.67,-74694.0,-1.26,438.0,0.01,,
54,歸屬於母公司業主之權益合計,2982581.0,46.27,2981524.0,50.04,2816214.0,47.38,3024535.0,48.16,,
55,非控制權益,81071.0,1.26,94296.0,1.58,94725.0,1.59,110913.0,1.77,,
56,權益總額,3063652.0,47.53,3075820.0,51.62,2910939.0,48.97,3135448.0,49.93,,
