,民國103年第3季,民國103年第3季,民國103年第3季,民國103年第3季,民國103年第3季,民國103年第3季,民國103年第3季,民國103年第3季,民國103年第3季
,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元,單位：新台幣仟元
,會計項目,103年09月30日,103年09月30日,102年12月31日,102年12月31日,102年09月30日,102年09月30日,Unnamed: 7_level_2,Unnamed: 8_level_2
,Unnamed: 0_level_3,金額,%,金額,%,金額,%,Unnamed: 7_level_3,Unnamed: 8_level_3
0,流動資產,,,,,,,,
1,現金及約當現金,748717.0,10.67,886326.0,12.59,865955.0,13.43,,
2,透過損益按公允價值衡量之金融資產－流動,285093.0,4.06,583919.0,8.29,245555.0,3.81,,
3,備供出售金融資產－流動淨額,16392.0,0.23,17597.0,0.25,17839.0,0.28,,
4,應收票據淨額,11535.0,0.16,12364.0,0.18,25046.0,0.39,,
5,應收帳款淨額,216240.0,3.08,253720.0,3.6,199174.0,3.09,,
6,其他應收款淨額,28553.0,0.41,34750.0,0.49,35248.0,0.55,,
7,存貨,40084.0,0.57,39216.0,0.56,31710.0,0.49,,
8,預付款項,102125.0,1.45,61230.0,0.87,60951.0,0.95,,
9,其他流動資產,68977.0,0.98,213221.0,3.03,132735.0,2.06,,
10,流動資產合計,1517716.0,21.62,2102343.0,29.86,1614213.0,25.04,,
11,非流動資產,,,,,,,,
12,以成本衡量之金融資產－非流動淨額,500.0,0.01,500.0,0.01,500.0,0.01,,
13,不動產、廠房及設備,3147050.0,44.83,2614414.0,37.13,2484153.0,38.54,,
14,投資性不動產淨額,322442.0,4.59,332411.0,4.72,354830.0,5.5,,
15,無形資產,1676385.0,23.88,1654541.0,23.5,1645350.0,25.53,,
16,遞延所得稅資產,52827.0,0.75,54985.0,0.78,64559.0,1.0,,
17,其他非流動資產,302667.0,4.31,281659.0,4.0,282151.0,4.38,,
18,非流動資產合計,5501871.0,78.38,4938510.0,70.14,4831543.0,74.96,,
19,資產總額,7019587.0,100.0,7040853.0,100.0,6445756.0,100.0,,
20,流動負債,,,,,,,,
21,短期借款,302000.0,4.3,115500.0,1.64,111000.0,1.72,,
22,應付短期票券,183000.0,2.61,19000.0,0.27,39000.0,0.61,,
23,透過損益按公允價值衡量之金融負債－流動,4898.0,0.07,7748.0,0.11,9150.0,0.14,,
24,應付票據,21718.0,0.31,15432.0,0.22,22746.0,0.35,,
25,應付帳款,269488.0,3.84,259232.0,3.68,222631.0,3.45,,
26,其他應付款,557759.0,7.95,726383.0,10.32,600777.0,9.32,,
27,當期所得稅負債,53595.0,0.76,129364.0,1.84,66818.0,1.04,,
28,其他流動負債,337793.0,4.81,363937.0,5.17,291389.0,4.52,,
29,流動負債合計,1730251.0,24.65,1636596.0,23.24,1363511.0,21.15,,
30,非流動負債,,,,,,,,
31,應付公司債,1414810.0,20.16,1398362.0,19.86,1392922.0,21.61,,
32,長期借款,128571.0,1.83,171429.0,2.43,185714.0,2.88,,
33,遞延所得稅負債,2057.0,0.03,458.0,0.01,978.0,0.02,,
34,其他非流動負債,437953.0,6.24,439113.0,6.24,438979.0,6.81,,
35,非流動負債合計,1983391.0,28.26,2009362.0,28.54,2018593.0,31.32,,
36,負債總額,3713642.0,52.9,3645958.0,51.78,3382104.0,52.47,,
37,歸屬於母公司業主之權益,,,,,,,,
38,股本,,,,,,,,
39,普通股股本,1169231.0,16.66,1062937.0,15.1,1062937.0,16.49,,
40,股本合計,1169231.0,16.66,1062937.0,15.1,1062937.0,16.49,,
41,資本公積,,,,,,,,
42,資本公積－庫藏股票交易,98227.0,1.4,204521.0,2.9,204521.0,3.17,,
43,資本公積－認股權,103299.0,1.47,103299.0,1.47,103299.0,1.6,,
44,資本公積合計,201526.0,2.87,307820.0,4.37,307820.0,4.78,,
45,保留盈餘,,,,,,,,
46,法定盈餘公積,1062937.0,15.14,966306.0,13.72,966306.0,14.99,,
47,特別盈餘公積,216432.0,3.08,148541.0,2.11,148541.0,2.3,,
48,未分配盈餘（或待彌補虧損）,743799.0,10.6,1044369.0,14.83,690870.0,10.72,,
49,保留盈餘合計,2023168.0,28.82,2159216.0,30.67,1805717.0,28.01,,
50,其他權益,,,,,,,,
51,國外營運機構財務報表換算之兌換差額,-173346.0,-2.47,-213465.0,-3.03,-191168.0,-2.97,,
52,備供出售金融資產未實現損益,-4172.0,-0.06,-2967.0,-0.04,-2725.0,-0.04,,
53,其他權益合計,-177518.0,-2.53,-216432.0,-3.07,-193893.0,-3.01,,
54,歸屬於母公司業主之權益合計,3216407.0,45.82,3313541.0,47.06,2982581.0,46.27,,
55,非控制權益,89538.0,1.28,81354.0,1.16,81071.0,1.26,,
56,權益總額,3305945.0,47.1,3394895.0,48.22,3063652.0,47.53,,
57,待註銷股本股數（單位：股）,0.0,,0.0,,0.0,,,
58,預收股款（權益項下）之約當發行股數（單位：股）,0.0,,0.0,,0.0,,,
59,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,0.0,,0.0,,0.0,,,
